Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
13680	876	2.080000	6.110000	3.440000	0.950000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
13800	948	1.930000	6.710000	3.680000	0.930000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
13930	1079	1.800000	6.600000	3.610000	0.950000	0.350000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14061	1138	1.750000	5.320000	2.980000	0.910000	0.370000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14191	1169	1.750000	7.230000	3.910000	0.920000	0.410000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14311	1220	1.720000	6.640000	3.660000	0.930000	0.380000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14441	1306	1.720000	7.420000	4.070000	0.900000	0.430000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14571	1349	1.880000	7.390000	4.040000	0.940000	0.400000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14702	1433	1.480000	6.450000	3.570000	0.930000	0.370000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14822	1447	1.630000	6.500000	3.570000	0.930000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
14952	1439	1.880000	6.330000	3.490000	0.940000	0.350000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15082	1422	1.900000	6.290000	3.470000	0.940000	0.350000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15212	1393	1.930000	6.340000	3.490000	0.940000	0.350000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15342	1383	1.970000	6.290000	3.470000	0.930000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15463	1369	1.970000	6.300000	3.470000	0.930000	0.350000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15593	1364	2.000000	6.140000	3.400000	0.940000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15723	1348	1.950000	5.990000	3.320000	0.950000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15853	1330	2.000000	6.280000	3.470000	0.930000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
15983	1299	2.020000	6.810000	3.720000	0.930000	0.370000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
16104	1293	2.060000	6.730000	3.710000	0.950000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
16234	1285	1.880000	6.200000	3.440000	0.940000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
16364	1257	1.900000	6.100000	3.390000	0.950000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
16494	1233	1.820000	5.680000	3.170000	0.950000	0.330000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
16614	1199	1.860000	5.820000	3.240000	0.950000	0.330000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
16744	1159	1.970000	6.080000	3.370000	0.940000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
16875	1065	2.000000	5.990000	3.320000	0.940000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
17005	1026	1.910000	6.080000	3.380000	0.940000	0.350000	83.000000	70.000000	250	0.000000	0.000000	0.840000	0	0	0	
17145	1001	1.930000	6.190000	3.450000	0.950000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
17295	984	1.930000	6.330000	3.500000	0.940000	0.370000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
17415	973	1.950000	6.280000	3.500000	0.950000	0.370000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
17566	969	1.950000	6.210000	3.450000	0.950000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
