 mAir, RPM, O2Sf, Target
167,828,2810,2838.1
167,831,2810,2838.1
167,831,2668,2694.68
166,830,2668,2694.68
166,830,2668,2694.68
163,829,2717,2744.17
163,829,2717,2744.17
165,827,2678,2704.78
165,827,2678,2704.78
164,827,2854,2882.54
164,827,2854,2882.54
165,833,2771,2798.71
165,827,2771,2798.71
165,827,2810,2838.1
166,829,2810,2838.1
166,829,2810,2838.1
166,829,2766,2793.66
166,829,2766,2793.66
165,829,2693,2719.93
165,831,2693,2719.93
165,831,2688,2714.88
165,831,2688,2714.88
165,828,2697,2723.97
164,831,2697,2723.97
164,831,2697,2723.97
161,827,2805,2833.05
161,830,2805,2833.05
164,830,2761,2788.61
164,830,2761,2788.61
165,830,2741,2768.41
165,828,2741,2768.41
167,828,2810,2838.1
167,824,2810,2838.1
167,825,2693,2719.93
166,825,2693,2719.93
166,825,2693,2719.93
166,831,2790,2817.9
166,831,2790,2817.9
164,831,2737,2764.37
164,831,2737,2764.37
164,830,2673,2699.73
163,827,2673,2699.73
163,827,2673,2699.73
166,823,2785,2812.85
166,823,2785,2812.85
166,827,2771,2798.71
166,827,2771,2798.71
169,827,2717,2744.17
169,827,2717,2744.17
168,827,2624,2650.24
168,828,2624,2650.24
168,826,2658,2684.58
165,826,2658,2684.58
165,826,2688,2714.88
165,831,2688,2714.88
165,834,2688,2714.88
164,834,2785,2812.85
164,834,2785,2812.85
163,834,2653,2679.53
163,835,2653,2679.53
163,835,2614,2640.14
164,835,2614,2640.14
164,840,2668,2694.68
162,840,2668,2694.68
162,840,2668,2694.68
162,833,2668,2694.68
162,833,2668,2694.68
167,830,2810,2838.1
167,830,2810,2838.1
169,828,2688,2714.88
169,828,2688,2714.88
168,828,2658,2684.58
168,827,2658,2684.58
168,823,2722,2749.22
165,823,2722,2749.22
165,823,2722,2749.22
166,821,2781,2808.81
166,821,2781,2808.81
168,821,2712,2739.12
168,819,2712,2739.12
165,819,2639,2665.39
165,823,2639,2665.39
165,823,2693,2719.93
168,819,2693,2719.93
168,819,2693,2719.93
170,818,2839,2867.39
170,818,2839,2867.39
169,818,2653,2679.53
169,815,2653,2679.53
169,815,2595,2620.95
167,817,2595,2620.95
167,817,2595,2620.95
168,817,2727,2754.27
168,817,2727,2754.27
169,817,2688,2714.88
169,814,2688,2714.88
169,809,2707,2734.07
170,809,2707,2734.07
170,809,2707,2734.07
167,810,2673,2699.73
167,810,2673,2699.73
168,807,2717,2744.17
168,807,2717,2744.17
168,807,2702,2729.02
170,811,2702,2729.02
170,811,2781,2808.81
168,814,2781,2808.81
168,814,2702,2729.02
168,819,2702,2729.02
168,819,2702,2729.02
169,819,2727,2754.27
169,816,2727,2754.27
168,816,2639,2665.39
168,816,2639,2665.39
168,816,2849,2877.49
170,813,2849,2877.49
170,813,2849,2877.49
169,813,2609,2635.09
169,813,2609,2635.09
170,816,2663,2689.63
170,815,2663,2689.63
170,815,2732,2759.32
169,814,2732,2759.32
169,814,2732,2759.32
169,818,2727,2754.27
169,818,2727,2754.27
167,819,2658,2684.58
167,819,2658,2684.58
